description,identifier,language,mediatype,title
"['This manuscript was digitized with the generous support of the British Library’s Endangered Archives Programme and Arcadia, a charitable fund of Lisbet Rausing and Peter Baldwin. The manuscripts were made available by the Fragile Palm Leaves Foundation', 'Electronic reproduction. Cambridge, Mass. : Buddhist Digital Resource Center']",bdrc-W1EAP3740,tib,texts,manusāra dhammasat rhve kyam:*
"['This manuscript was digitized with the generous support of the British Library’s Endangered Archives Programme and Arcadia, a charitable fund of Lisbet Rausing and Peter Baldwin. The manuscripts were made available by the Fragile Palm Leaves Foundation', 'Electronic reproduction. Cambridge, Mass. : Buddhist Digital Resource Center']",bdrc-W1EAP5309,tib,texts,niyaṃ mū-sac--abhidhammatthasaṅgruih kyam:--suṃ khyak cu--saddā sut nak--vuttimoggalān pāṭh--ṇvādimoggalān pāṭh--mūlamoggalān pāṭh--saddatthabhedacintā dīpanī--sambandhacintā ṭīkā--gandhābharaṇa ṭīkā-sac--saddavuttipakāsaka ṭīkā--saddanīti sut cañ
